,CISS,Correlation_Effect,Money_Market_Contribution,Bond_Market_Contribution,Equity_Market_Contribution,FX_Market_Contribution,Financial_Intermediaries_Contribution
2024-06-25,0.42053349230021,0.9176835555973311,0.10549072648455304,0.1417978328898057,0.04364476308032998,0.05984478431102014,0.0697553855345012
2024-06-26,0.40514482464353874,0.9177945568847985,0.10474104029246041,0.14248212487463904,0.03507252304606499,0.0417439268863491,0.08110520954402531
2024-06-27,0.40855930907472554,0.9164747603982313,0.10287738483805693,0.13552025532783815,0.04967807112439012,0.06833113997569369,0.052152457808746715
2024-06-28,0.3595374013437342,0.9147543394822085,0.10230430151841524,0.1410602486117425,0.027072168925485925,0.04578521200731304,0.04331547028077748
2024-07-01,0.37791830523519265,0.9116616431400062,0.10006504224288544,0.14295006034697919,0.030767397094548503,0.028116667498710474,0.07601913805206906
2024-07-02,0.3692491933391282,0.9078043737186121,0.10265825160743186,0.14385352796413317,0.05269601712447603,0.03836722534823211,0.031674171294855
2024-07-03,0.4155392333681194,0.9033053763735867,0.1367621224042253,0.13770013421769736,0.02523251778239822,0.07269591554408408,0.04314854341971443
2024-07-04,0.41028718064326813,0.8971538486818056,0.14477435938229763,0.1378803422688549,0.01872564107840529,0.057574359136589405,0.051332478777120966
2024-07-05,0.38123568052011414,0.8936951322805984,0.143566601208524,0.13085255830899728,0.01753981100737623,0.03229552502945465,0.05698118496576193
2024-07-08,0.450802295430331,0.8916052793169207,0.14202725840832361,0.13091691224861124,0.043608108676871205,0.04138603944492872,0.09286397665159622
2024-07-09,0.43946417899903645,0.8918946351445142,0.13873916546692444,0.1304963178524009,0.029637204906152084,0.050938945932448895,0.08965254484111006
2024-07-10,0.4351318941277549,0.8923168953258686,0.1363030273130169,0.12416455241294538,0.03484020276661751,0.0647694195049618,0.07505469213021325
2024-07-11,0.3897776672388362,0.892854171148904,0.13239831322955714,0.11812006376362451,0.021231942387653066,0.057483861486222275,0.060543486371779275
2024-07-12,0.3978496803650858,0.8924510649698988,0.13660154410858058,0.12001288983759287,0.0591260414798334,0.029377672647503423,0.052731532291575546
2024-07-15,0.42703058998836024,0.8914599136327571,0.14228181591417943,0.12700758063386738,0.03545474007490613,0.031659324035555866,0.09062712932985144
2024-07-16,0.45427448406861265,0.8920602123941149,0.14460082985952374,0.12801944065718246,0.03288487802698971,0.06752979177936759,0.08123954374554922
2024-07-17,0.43934231995411105,0.8931531646945511,0.14468524786329182,0.125115640620244,0.05212378801228845,0.06445913286217167,0.05295851059611513
2024-07-18,0.41059608029825695,0.8927614028611907,0.1427676594398997,0.12913983740245472,0.05200821879596345,0.032261782782522785,0.0544185818774163
2024-07-19,0.41266736497225087,0.892629542830812,0.14052195087554634,0.13023307452516,0.05774747717378982,0.03679895415408436,0.0473659082436703
2024-07-22,0.44871838673593367,0.8929857541366069,0.14206170045039274,0.1328814730714183,0.061572434137768126,0.0705672023777734,0.04163557669858115
2024-07-23,0.43033655745090094,0.8939044538939118,0.1412796032010939,0.12874823235211383,0.03508783837714421,0.0569945311205464,0.06822635240000262
2024-07-24,0.4462294127523329,0.8965552357197926,0.14318815706511331,0.1331333319916203,0.05613943999366926,0.034353985667767754,0.07941449803416233
2024-07-25,0.4554592318590145,0.898601188855216,0.14220853705247657,0.13670308843955262,0.07343708573510438,0.04936241213960637,0.05374810849227461
2024-07-26,0.4199957988983082,0.9007927713565049,0.1430230682662613,0.13909437705162234,0.0390998316123592,0.05051174418821523,0.04826677777985012
2024-07-29,0.4387983937789238,0.9013712739102038,0.1466717327328442,0.14873094021218217,0.03875054074754147,0.04932737916414096,0.055317800922215006
2024-07-30,0.49385584941880073,0.9019214545615495,0.14591834124682185,0.15060121484267622,0.07932787871377284,0.03484057955315644,0.08316783506237342
2024-07-31,0.48098947974863,0.9050270984719239,0.14134587290776465,0.1490522303402359,0.044734465095808494,0.05798564068091144,0.08787127072390956
2024-08-01,0.46281207735548124,0.9075300967080605,0.1371190333032428,0.15662668958762171,0.05277433584179792,0.03109916219248806,0.08519285643033092
2024-08-02,0.5482547272550011,0.9095078421129474,0.13090112867793827,0.1681125606397764,0.11050095278007774,0.029750256517713236,0.10898982863949548
2024-08-05,0.6515329365922808,0.910897528946525,0.13507390148864362,0.17149088473313087,0.1507757695888641,0.08607650585060624,0.10811587493103618
2024-08-06,0.5556580372367793,0.9100317854745209,0.11632908908817606,0.1686819041611651,0.09837415251079715,0.03751636748010227,0.13475652399653862
2024-08-07,0.5795480623865692,0.9057201948689809,0.11606009558341877,0.16336822206515267,0.10533817427344329,0.09837833061609079,0.09640323984846372
2024-08-08,0.600022821643133,0.9059610806559062,0.11721988644831353,0.15833151596509767,0.1418680487673008,0.08805603026935913,0.09454734019306188
2024-08-09,0.6024730157558456,0.9100886496829477,0.12191218671765344,0.1599979318705328,0.11066602375687766,0.07513192902367015,0.13476494438711148
2024-08-12,0.5870987321961613,0.9144041389372524,0.11840726492780415,0.16911254116793842,0.11679305201379239,0.04909106332612248,0.1336948107605038
2024-08-13,0.579057427684119,0.9158027637704166,0.11326283402394252,0.17098788881196356,0.1335189076151262,0.06000742927716853,0.10128036795591835
2024-08-14,0.6359134795463198,0.9174302334128926,0.12327671049182591,0.1653851386505485,0.12175242349965494,0.0817398899551674,0.14375931694912308
2024-08-15,0.6205606112578832,0.9220797232546543,0.12390147060140426,0.16373378263400407,0.1418068608660585,0.0718130625587737,0.11930543459764271
2024-08-16,0.5867719699346059,0.9267859718665333,0.12241658943034585,0.16254844304076585,0.11308136209171099,0.048504686378061566,0.14022088899372165
2024-08-19,0.6170217917442898,0.9269765763646658,0.1311050983394263,0.16989757604191438,0.15738387355724082,0.06295354942289633,0.09568169438281184
2024-08-20,0.5970831042725163,0.928753076101491,0.13666075896529728,0.17109116895161428,0.12537684308742872,0.0610488782110326,0.10290545505714342
